team,conference,color,alt_color,logo
Hanover,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2262.png
Harding,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png
Hardin-Simmons,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2810.png
Hartwick,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/173.png
Harvard,,#990000,#dbdbdb,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Haskell Indian Nations,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/535.png
Hawai'i,Mountain West,#003420,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Heidelberg,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/191.png
Henderson State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png
Hendrix College,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/418.png
Hillsdale,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2273.png
Hiram,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2274.png
Hobart,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/174.png
Holland College,,,,
Holy Cross,,#0a0a0a,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png
Hope,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2812.png
Houston,American Athletic,#C90822,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Houston Baptist,,#00539c,,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png
Howard,,#9e0b0e,#6b818d,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png
Howard Payne,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2758.png
Humboldt State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2278.png
Huntingdon,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2938.png
Husson,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2280.png
Idaho,,#000000,#8c6e4a,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Idaho State,,#ef8c00,#e9a126,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Illinois,Big Ten,#f77329,#fa6300,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Illinois College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2286.png
Illinois State,,#CE1126,#ffe716,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png
Illinois Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/306.png
Incarnate Word,,#000000,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png
Indiana,Big Ten,#7D110C,#eeedeb,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Indiana (PA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png
Indianapolis,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2292.png
Indiana State,,#00669a,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png
Iowa,Big Ten,#000000,#ffe100,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,Big 12,#660015,#830b2c,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Iowa Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2295.png
Ithaca,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/175.png
Jackson State,,#123297,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png
Jacksonville,,#00523e,,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png
Jacksonville State,,#b50500,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png
James Madison,,#450084,#cbb778,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Jamestown,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2939.png
John Carroll,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png
Johns Hopkins,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/118.png
Johnson C Smith,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2304.png
Juniata,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/246.png
Kalamazoo,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/126.png
Kansas,Big 12,#0022B4,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State,Big 12,#633194,#e7d2ad,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kansas Wesleyan University,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/547.png
Kennesaw State,,#000000,#fdbb30,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Kent State,Mid-American,#002445,#f0b510,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Kentucky,SEC,#005DAA,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Kentucky State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png
Kentucky Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2316.png
Kenyon,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/352.png
King's College (PA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/247.png
Kutztown,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png
Lafayette,,#790000,#a59474,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png
LaGrange College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/548.png
Lake Erie College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/437.png
Lake Forest,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/262.png
Lamar,,#000000,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png
Lambuth,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2321.png
Langston,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2324.png
La Verne,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2318.png
Lawrence,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/268.png
Lebanon Valley,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/388.png
Lehigh,,#6c2b2a,#b69e70,http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png
Lenoir-Rhyne,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png
Lewis & Clark,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2333.png
Liberty,FBS Independents,#071740,#a61f21,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Limestone,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2336.png
Lincoln (MO),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2876.png
Lincoln (PA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2339.png
Lindenwood,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png
Lindenwood Belleville,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3209.png
Lindsey Wilson,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2877.png
Linfield,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/203.png
LIU Post,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2089.png
Livingstone,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2940.png
Lock Haven,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/209.png
Long Island University,,#69B3E7,#FFC72C,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png
Louisiana,Sun Belt,#ce2842,#0a0203,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
Louisiana College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2347.png
Louisiana Monroe,Sun Belt,#231F20,#b18445,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
Louisiana Tech,Conference USA,#002d65,#d3313a,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Louisville,ACC,#ad000a,#cccccc,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
LSU,SEC,#22005c,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Luther,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/67.png
Lycoming,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2354.png
Macalester,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2359.png
MacMurray College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/273.png
Maine,,#127dbe,,http://a.espncdn.com/i/teamlogos/ncaa/500/311.png
Maine Maritime,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/274.png
Malone,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/556.png
Manchester,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2362.png
Manitoba,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2770.png
Mansfield,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2365.png
Maranatha Baptist College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/421.png
Marian,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2366.png
Marietta,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/317.png
Marist,,#e53730,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png
Marshall,Conference USA,#186329,#be854c,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Mars Hill,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png
Martin Luther College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/446.png
Mary Hardin-Baylor,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2371.png
Maryland,Big Ten,#D5002B,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Maryville TN,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2373.png
Mass Maritime,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/110.png
Mayville State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/561.png
McDaniel College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2700.png
McMurry,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/241.png
McNeese,,#00529C,,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png
Memphis,American Athletic,#002447,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Menlo,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2381.png
Mercer,,#ff7f29,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png
Merchant Marine,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2383.png
Mercyhurst,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png
Merrimack,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png
Methodist,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/291.png
Miami,ACC,#004325,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Miami (OH),Mid-American,#a4000c,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Michigan,Big Ten,#00274c,#ffcb05,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan State,Big Ten,#18453B,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Michigan Tech,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png
Middlebury,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2394.png
Middle Tennessee,Conference USA,#0079C2,#c3c5c8,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
Midland University,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/565.png
Midwestern State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2395.png
Miles,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2396.png
Millersville,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/210.png
Millikin,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/74.png
Millsaps,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2398.png
Minnesota,Big Ten,#7F011B,#7a0019,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Minnesota-Crookston,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2772.png
Minnesota-Duluth,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/134.png
Minnesota-Morris,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2399.png
Minnesota State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png
Minnesota St-Moorhead,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png
Minot State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/568.png
Misericordia,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2969.png
Mississippi College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2401.png
Mississippi State,SEC,#762123,#c8c8c8,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Mississippi Valley State,,#005328,#cf2d34,http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png
Missouri,SEC,#000000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
Missouri Baptist,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png
Missouri Southern State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2403.png
Missouri S&T,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2402.png
Missouri State,,#5F0000,#e8e8e8,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
Missouri Western,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/137.png
Monmouth,,#051844,,http://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
Monmouth (IL),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2919.png
Montana,,#751D4A,#666666,http://a.espncdn.com/i/teamlogos/ncaa/500/149.png
Montana State,,#003875,#bf965c,http://a.espncdn.com/i/teamlogos/ncaa/500/147.png
Montana-Western,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png
Montclair State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2818.png
Monterrey Tech,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3100.png
Moravian,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/323.png
Morehead State,,#094FA3,#fed91a,http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png
Morehouse,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/60.png
Morgan State,,#014786,#f47937,http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png
Morningside,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2416.png
Morrisville State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3110.png
Mount Ida College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/481.png
Mount St. Joseph,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2419.png
Mount Union,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/426.png
Muhlenberg,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2422.png
Murray State,,#002148,#000e00,http://a.espncdn.com/i/teamlogos/ncaa/500/93.png
Muskingum,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/332.png
Navy,American Athletic,#131630,#b6a77c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
NC State,ACC,#EF1216,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
NC Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/286.png
Nebraska,Big Ten,#F20017,#f5f1e7,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Nebraska-Kearney,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2438.png
Nebraska-Omaha,,#e3193e,,http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png
Nevada,Mountain West,#153E5F,#8e9295,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
Newberry,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2444.png
New Hampshire,,#004990,#c3c4c6,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png
New Haven,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png
New Mexico,Mountain West,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
New Mexico Highlands,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png
New Mexico State,FBS Independents,#891216,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png
Nicholls,,#C41230,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png
Nichols,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2884.png
Norfolk State,,#046546,,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png
North Alabama,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png
North Carolina,ACC,#99bfe5,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
North Carolina A&T,,#0505aa,#004684,http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png
North Carolina Central,,#880023,#c2c3c0,http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png
North Central,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3071.png
North Dakota,,#00A26B,#c2c3c0,http://a.espncdn.com/i/teamlogos/ncaa/500/155.png
North Dakota State,,#01402A,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
Northeastern State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/196.png
Northern Arizona,,#003976,#1b3069,http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png
Northern Colorado,,#13558D,#ffc533,http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png
Northern Illinois,Mid-American,#F1122C,#cc0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
Northern Iowa,,#473282,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png
Northern Michigan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/128.png
Northern State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/425.png
North Greenville,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2822.png
North Park,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/75.png
North Texas,Conference USA,#00853D,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Northwestern,Big Ten,#372286,#d6cac1,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Northwestern (MN),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/583.png
Northwestern Oklahoma State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2823.png
Northwestern State,,#492F91,#ed6118,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png
Northwest Missouri State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/138.png
Northwood (MI),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2886.png
Norwich,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2467.png
Notre Dame,FBS Independents,#00122b,#ae9142,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Notre Dame College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/587.png
Oberlin,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/391.png
Occidental,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2475.png
Ohio,Mid-American,#295A29,#e4bb85,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
Ohio Dominican,,,,
Ohio Midwestern College,,,,
Ohio Northern,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/427.png
Ohio State,Big Ten,#DE3121,#666666,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Ohio State Newark,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3161.png
Ohio Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2980.png
Oklahoma,Big 12,#7b0000,#cccccc,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma Baptist,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/319.png
Oklahoma State,Big 12,#FF6500,#ff9900,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
OK Panhandle St,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2824.png
Old Dominion,Conference USA,#00507d,#a1d2f1,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png
Ole Miss,SEC,#001148,#00205b,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Olivet College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/354.png
Oregon,Pac-12,#044520,#fee123,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon State,Pac-12,#c34500,#dea076,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Otterbein,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/359.png
Ouachita Baptist,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2888.png
Pace,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2487.png
Pacific Lutheran,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2486.png
Pacific (OR),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/205.png
Penn State,Big Ten,#00265D,#002e5c,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Pennsylvania,,#082A74,#a6163d,http://a.espncdn.com/i/teamlogos/ncaa/500/219.png
Pikeville,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/95.png
Pittsburgh,ACC,#003263,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Pittsburg State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/90.png
Plymouth State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2972.png
Point University,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3179.png
Pomona-Pitzer,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2923.png
Portland State,,#00311e,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png
Prairie View,,#4d0960,,http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png
Presbyterian College,,#194896,#990134,http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png
Presentation College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/597.png
Princeton,,#ff9408,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/163.png
